time,current,voltage,soc_true
551,0.678793,3.88248,0.769511
552,0.619154,3.8835,0.769453
553,0.571716,3.82707,0.769401
554,0.579178,4.13015,0.769347
555,0.615903,3.86127,0.76929
556,0.364026,3.95575,0.769256
557,0.261863,4.07852,0.769232
558,0.754094,4.0457,0.769162
559,0.958964,4.05638,0.769073
560,0.379944,4.15229,0.769038
561,0.221311,4.07085,0.769018
562,0.867591,3.91268,0.768937
563,0.669395,3.96919,0.768875
564,0.516511,3.91949,0.768828
565,0.697002,4.08616,0.768763
566,0.653346,3.86578,0.768702
567,0.56208,4.06582,0.76865
568,0.464391,3.88015,0.768607
569,0.673141,3.99596,0.768545
570,0.66414,3.9692,0.768484
571,0.886297,4.06154,0.768402
572,0.515052,4.111,0.768354
573,0.611725,3.87616,0.768297
574,0.769772,4.1163,0.768226
575,0.890986,4.11448,0.768143
576,0.374512,4.03856,0.768109
577,0.424694,3.97406,0.768069
578,0.710168,3.99185,0.768004
579,0.392856,3.88713,0.767967
580,0.507167,4.01826,0.76792
581,0.353253,3.92216,0.767888
582,0.502444,4.05588,0.767841
583,0.647621,3.89733,0.767781
584,0.361206,3.88435,0.767748
585,0.716267,3.97232,0.767681
586,0.219374,4.03071,0.767661
587,0.413465,4.09363,0.767623
588,0.797219,3.85366,0.767549
589,0.919165,4.03291,0.767464
590,0.90435,4.00172,0.76738
591,0.657696,3.81204,0.767319
592,0.202503,4.17501,0.7673
593,0.803977,3.91357,0.767226
594,0.58949,3.99672,0.767171
595,0.594201,3.92223,0.767116
596,0.912303,3.83645,0.767032
597,0.727496,3.80728,0.766965
598,0.336527,3.90353,0.766933
599,0.549314,3.96312,0.766883
600,0.406826,3.95747,0.766845
601,0.22899,4.09975,0.766824
602,0.270598,3.97594,0.766799
603,0.955293,3.89773,0.76671
604,0.382323,3.99924,0.766675
605,0.970038,3.93017,0.766585
606,0.256914,3.96501,0.766561
607,0.34032,3.93927,0.76653
608,0.799781,4.113,0.766456
609,0.367269,4.02731,0.766422
610,0.321323,4.08949,0.766392
611,0.979665,3.80624,0.766301
612,0.872794,4.02084,0.76622
613,0.48363,3.90082,0.766176
614,0.447814,3.82743,0.766134
615,0.665038,3.86667,0.766073
616,0.576274,4.0777,0.766019
617,0.476202,3.93073,0.765975
618,0.720548,4.17582,0.765908
619,0.63341,3.98362,0.76585
620,0.502062,3.6951,0.765803
621,0.704658,3.71259,0.765738
622,0.824354,4.10488,0.765662
623,0.949079,3.86017,0.765574
624,0.288166,3.93754,0.765547
625,0.363511,4.17757,0.765513
626,0.539276,4.10459,0.765464
627,0.46564,3.97543,0.76542
628,0.356332,4.05022,0.765387
629,0.48944,4.03712,0.765342
630,0.903074,4.08591,0.765258
