time,current,voltage,soc_true
605,0.970038,3.95909,0.766585
606,0.256914,3.99488,0.766561
607,0.34032,3.99079,0.76653
608,0.799781,3.96762,0.766456
609,0.367269,3.98932,0.766422
610,0.321323,3.99171,0.766392
611,0.979665,3.95848,0.766301
612,0.872794,3.96359,0.76622
613,0.48363,3.98305,0.766176
614,0.447814,3.98486,0.766134
615,0.665038,3.97388,0.766073
616,0.576274,3.97826,0.766019
617,0.476202,3.98327,0.765975
618,0.720548,3.97091,0.765908
619,0.63341,3.97517,0.76585
620,0.502062,3.98173,0.765803
621,0.704658,3.97146,0.765738
622,0.824354,3.96527,0.765662
623,0.949079,3.95876,0.765574
624,0.288166,3.99193,0.765547
625,0.363511,3.98824,0.765513
626,0.539276,3.97941,0.765464
627,0.46564,3.98311,0.76542
628,0.356332,3.98865,0.765387
629,0.48944,3.98198,0.765342
630,0.903074,3.96104,0.765258
631,0.859432,3.963,0.765179
632,0.51482,3.98021,0.765131
633,0.965179,3.9574,0.765042
634,0.338841,3.98881,0.76501
635,0.384444,3.98659,0.764975
636,0.989411,3.95604,0.764883
637,0.872995,3.96163,0.764802
638,0.762483,3.967,0.764732
639,0.504161,3.97991,0.764685
640,0.653923,3.97233,0.764625
641,0.824213,3.96362,0.764548
642,0.342872,3.98778,0.764517
643,0.775064,3.96601,0.764445
644,0.697655,3.96976,0.76438
645,0.884925,3.96017,0.764298
646,0.343334,3.98734,0.764266
647,0.593146,3.9748,0.764212
648,0.296183,3.98977,0.764184
649,0.686961,3.97012,0.76412
650,0.74816,3.96691,0.764051
651,0.957971,3.95614,0.763963
652,0.254136,3.99149,0.763939
653,0.59193,3.97454,0.763884
654,0.525886,3.97783,0.763835
655,0.475084,3.98038,0.763791
656,0.842694,3.96179,0.763713
657,0.494109,3.97923,0.763668
658,0.941522,3.95659,0.763581
659,0.274419,3.99008,0.763555
660,0.569983,3.97526,0.763502
661,0.290667,3.98935,0.763475
662,0.349775,3.98648,0.763443
663,0.21512,3.99338,0.763423
664,0.294022,3.98954,0.763396
665,0.965791,3.95566,0.763306
666,0.623943,3.97266,0.763249
667,0.676695,3.96991,0.763186
668,0.39433,3.98408,0.76315
669,0.300887,3.98886,0.763122
